FID,lon,lat
0,169.280487655,-77.4601447319
1,169.280693036,-77.4601488561
2,169.280898417,-77.4601529801
3,169.281103799,-77.460157104
4,169.28130918,-77.4601612277
5,169.281514562,-77.4601653512
6,169.281719944,-77.4601694746
7,169.281925326,-77.4601735979
8,169.282130383,-77.4601784166
9,169.282335392,-77.4601833393
10,169.282540401,-77.4601882619
11,169.282745409,-77.4601931843
12,169.282950418,-77.4601981066
13,169.283155428,-77.4602030287
14,169.283360437,-77.4602079506
15,169.283565447,-77.4602128724
16,169.283770456,-77.460217794
17,169.283964405,-77.4602329604
18,169.28415812,-77.4602483445
19,169.284351835,-77.4602637284
20,169.28454555,-77.4602791121
21,169.284739266,-77.4602944958
22,169.284932982,-77.4603098792
23,169.285126699,-77.4603252626
24,169.285320416,-77.4603406458
25,169.285514134,-77.4603560289
26,169.285707852,-77.4603714118
27,169.285883552,-77.4603941143
28,169.286050047,-77.4604205566
29,169.286216542,-77.4604469988
30,169.286383038,-77.4604734408
31,169.286549534,-77.4604998828
32,169.286716032,-77.4605263247
33,169.286881033,-77.4605531703
34,169.287035549,-77.4605828453
35,169.287190065,-77.4606125201
36,169.287344583,-77.4606421948
37,169.2874991,-77.4606718695
38,169.287653619,-77.4607015441
39,169.287808138,-77.4607312185
40,169.287962659,-77.4607608929
41,169.288117179,-77.4607905672
42,169.288256932,-77.4608233726
43,169.288389812,-77.4608576353
44,169.288522692,-77.460891898
45,169.288655572,-77.4609261605
46,169.288788454,-77.460960423
47,169.288921336,-77.4609946855
48,169.289054219,-77.4610289479
49,169.289187103,-77.4610632102
50,169.289319987,-77.4610974724
51,169.289452872,-77.4611317346
52,169.289585805,-77.4611659879
53,169.289723203,-77.4611994001
54,169.289860602,-77.4612328122
55,169.289998002,-77.4612662242
56,169.290135402,-77.4612996362
57,169.290272804,-77.4613330481
58,169.290410206,-77.46136646
59,169.290547608,-77.4613998717
60,169.290685012,-77.4614332834
61,169.290825451,-77.4614660792
62,169.290969628,-77.4614981166
63,169.291113807,-77.4615301539
64,169.291257986,-77.4615621911
65,169.29139409,-77.4615958169
66,169.291526709,-77.4616301286
67,169.291659329,-77.4616644403
68,169.29179195,-77.4616987519
69,169.291924571,-77.4617330634
70,169.292058366,-77.4617671581
71,169.292193087,-77.4618010817
72,169.292327809,-77.4618350053
73,169.292462532,-77.4618689287
74,169.292597255,-77.4619028522
75,169.292741658,-77.4619347488
76,169.292892877,-77.4619652181
77,169.293044097,-77.4619956873
78,169.293195317,-77.4620261564
79,169.293344083,-77.4620571364
80,169.293477846,-77.4620912389
81,169.29361161,-77.4621253414
82,169.293745375,-77.4621594438
83,169.29387914,-77.4621935461
84,169.294011167,-77.4622279021
85,169.294106061,-77.4622676778
86,169.294200955,-77.4623074535
87,169.29429585,-77.4623472292
88,169.294390745,-77.4623870048
89,169.294485641,-77.4624267804
90,169.294623614,-77.4624587586
91,169.294786708,-77.4624861897
92,169.294949803,-77.4625136207
93,169.295112899,-77.4625410516
94,169.295275995,-77.4625684824
95,169.295445047,-77.4625938233
96,169.295630881,-77.4626132748
97,169.295816715,-77.4626327263
98,169.29600255,-77.4626521776
99,169.296188386,-77.4626716288
100,169.296374222,-77.4626910798
101,169.296560058,-77.4627105308
102,169.296728103,-77.4627344464
103,169.296843446,-77.462771587
104,169.29695879,-77.4628087275
105,169.297074135,-77.462845868
106,169.297189481,-77.4628830085
107,169.297304827,-77.4629201489
108,169.297420173,-77.4629572892
109,169.297535521,-77.4629944296
110,169.297650869,-77.4630315698
111,169.297736738,-77.4630699318
112,169.297692499,-77.4631136863
113,169.29764826,-77.4631574407
114,169.29760402,-77.4632011952
115,169.29755978,-77.4632449496
116,169.297515539,-77.4632887041
117,169.297471299,-77.4633324585
118,169.297427058,-77.4633762129
119,169.297382816,-77.4634199674
120,169.297338575,-77.4634637218
121,169.297294333,-77.4635074762
122,169.297250091,-77.4635512306
123,169.297184881,-77.4635933991
124,169.297094352,-77.4636336527
125,169.297003822,-77.4636739062
126,169.296913291,-77.4637141598
127,169.29682276,-77.4637544132
128,169.296732228,-77.4637946667
129,169.296659146,-77.4638361842
130,169.296620225,-77.4638801764
131,169.296581304,-77.4639241686
132,169.296542383,-77.4639681608
133,169.296503461,-77.464012153
134,169.296464539,-77.4640561452
135,169.296425616,-77.4641001374
136,169.296386694,-77.4641441296
137,169.296347771,-77.4641881217
138,169.296297477,-77.4642313094
139,169.29620954,-77.4642718334
140,169.296121603,-77.4643123574
141,169.296033665,-77.4643528814
142,169.295945726,-77.4643934054
143,169.295857787,-77.4644339294
144,169.295769847,-77.4644744533
145,169.295681907,-77.4645149772
146,169.295558015,-77.4645468735
147,169.295363521,-77.4645618266
148,169.295169026,-77.4645767796
149,169.294974531,-77.4645917324
150,169.294780035,-77.4646066851
151,169.294585539,-77.4646216376
152,169.294391042,-77.46463659
153,169.294196545,-77.4646515423
154,169.294002047,-77.4646664944
155,169.293810858,-77.4646606543
156,169.293621577,-77.4646428235
157,169.293432297,-77.4646249925
158,169.293243017,-77.4646071613
159,169.293053738,-77.4645893301
160,169.29286446,-77.4645714987
161,169.292675182,-77.4645536672
162,169.292485904,-77.4645358355
163,169.292296627,-77.4645180037
164,169.292107351,-77.4645001718
165,169.291918075,-77.4644823398
166,169.291720656,-77.4644711459
167,169.291515603,-77.4644661745
168,169.29131055,-77.4644612029
169,169.291105498,-77.4644562312
170,169.290900445,-77.4644512593
171,169.290695393,-77.4644462872
172,169.290490341,-77.464441315
173,169.29028529,-77.4644363426
174,169.290080238,-77.4644313701
175,169.289875186,-77.4644263974
176,169.289670135,-77.4644214246
177,169.289482031,-77.4644353472
178,169.289300557,-77.464456662
179,169.289119082,-77.4644779766
180,169.288937607,-77.4644992911
181,169.288756131,-77.4645206055
182,169.288574654,-77.4645419198
183,169.288393177,-77.4645632339
184,169.288211699,-77.4645845479
185,169.288030221,-77.4646058618
186,169.287848742,-77.4646271756
187,169.287667262,-77.4646484892
188,169.287485782,-77.4646698028
189,169.287304301,-77.4646911162
190,169.28712282,-77.4647124295
191,169.286941338,-77.4647337426
192,169.286759855,-77.4647550557
193,169.286567984,-77.4647610691
194,169.286365894,-77.4647520324
195,169.286163804,-77.4647429955
196,169.285961714,-77.4647339585
197,169.285759625,-77.4647249213
198,169.285557536,-77.464715884
199,169.285355447,-77.4647068466
200,169.285153359,-77.4646978089
201,169.284951271,-77.4646887712
202,169.284749183,-77.4646797332
203,169.284547096,-77.4646706952
204,169.284432216,-77.4646339475
205,169.28431999,-77.4645963571
206,169.284207764,-77.4645587666
207,169.284095538,-77.464521176
208,169.283983314,-77.4644835854
209,169.28387109,-77.4644459947
210,169.283758867,-77.464408404
211,169.283646644,-77.4643708133
212,169.283534422,-77.4643332225
213,169.283414055,-77.4642969874
214,169.283276011,-77.4642636945
215,169.283137967,-77.4642304015
216,169.282999924,-77.4641971084
217,169.282861882,-77.4641638152
218,169.28272384,-77.464130522
219,169.2825858,-77.4640972287
220,169.28244776,-77.4640639354
221,169.28230972,-77.4640306419
222,169.282171682,-77.4639973484
223,169.282033644,-77.4639640549
224,169.281895607,-77.4639307612
225,169.281763769,-77.4638963581
226,169.281639586,-77.4638605848
227,169.281515405,-77.4638248115
228,169.281391224,-77.4637890381
229,169.281267043,-77.4637532647
230,169.281142864,-77.4637174912
231,169.281018685,-77.4636817177
232,169.280894507,-77.463645944
233,169.280770329,-77.4636101704
234,169.280646152,-77.4635743967
235,169.280521976,-77.4635386229
236,169.280442726,-77.4634973516
237,169.280366096,-77.4634557598
238,169.280289466,-77.463414168
239,169.280212837,-77.4633725761
240,169.280136208,-77.4633309843
241,169.280059579,-77.4632893924
242,169.279982951,-77.4632478005
243,169.279906324,-77.4632062085
244,169.279829697,-77.4631646166
245,169.279753071,-77.4631230246
246,169.279676445,-77.4630814326
247,169.279597763,-77.4630400229
248,169.279518448,-77.4629986693
