FID,lon,lat
0,169.2567687,-77.45858505
1,169.2566481,-77.4586214
2,169.2565276,-77.45865775
3,169.2564071,-77.4586941
4,169.2562865,-77.45873045
5,169.256166,-77.45876679
6,169.2560454,-77.45880314
7,169.2559249,-77.45883949
8,169.2558044,-77.45887584
9,169.2556838,-77.45891219
10,169.2555633,-77.45894854
11,169.2554427,-77.45898488
12,169.2553431,-77.45902407
13,169.2552459,-77.45906357
14,169.2551486,-77.45910308
15,169.2550514,-77.45914258
16,169.2549541,-77.45918208
17,169.2548569,-77.45922159
18,169.2547596,-77.45926109
19,169.2546624,-77.4593006
20,169.2545652,-77.4593401
21,169.2544679,-77.4593796
22,169.2543707,-77.45941911
23,169.2542734,-77.45945861
24,169.2541762,-77.45949812
25,169.2540653,-77.45953586
26,169.2539512,-77.45957316
27,169.253837,-77.45961047
28,169.2537228,-77.45964778
29,169.2536087,-77.45968509
30,169.2534945,-77.45972239
31,169.2533803,-77.4597597
32,169.2532661,-77.45979701
33,169.253152,-77.45983431
34,169.2530378,-77.45987162
35,169.2529236,-77.45990893
36,169.2528094,-77.45994623
37,169.2526953,-77.45998354
38,169.2526098,-77.46002426
39,169.2525266,-77.46006525
40,169.2524433,-77.46010624
41,169.2523601,-77.46014722
42,169.2522765,-77.46018817
43,169.2521921,-77.46022905
44,169.2521077,-77.46026992
45,169.2520233,-77.46031079
46,169.2519389,-77.46035167
47,169.2518544,-77.46039254
48,169.25177,-77.46043342
49,169.2516856,-77.46047429
50,169.2516012,-77.46051516
51,169.2515168,-77.46055604
52,169.2514131,-77.4605945
53,169.251293,-77.46063093
54,169.251173,-77.46066735
55,169.2510182,-77.46069496
56,169.2508339,-77.46071509
57,169.2506496,-77.46073522
58,169.2504653,-77.46075535
59,169.2502811,-77.46077548
60,169.2501782,-77.46075675
61,169.2501268,-77.46071336
62,169.2500755,-77.46066997
63,169.2500242,-77.46062658
64,169.2499729,-77.46058319
65,169.2499216,-77.4605398
66,169.2498703,-77.46049641
67,169.249819,-77.46045303
68,169.2498141,-77.46040864
69,169.2498255,-77.46036391
70,169.2498368,-77.46031919
71,169.2498481,-77.46027446
72,169.2498595,-77.46022973
73,169.2498708,-77.460185
74,169.2498821,-77.46014027
75,169.2498767,-77.46009558
76,169.249861,-77.46005091
77,169.2498453,-77.46000625
78,169.2498296,-77.45996158
79,169.2498139,-77.45991691
80,169.2497982,-77.45987225
81,169.2496501,-77.45984333
82,169.2494852,-77.45981643
83,169.2493203,-77.45978952
84,169.2491554,-77.45976261
85,169.2489905,-77.4597357
86,169.2488257,-77.45970879
87,169.2486608,-77.45968189
88,169.2484959,-77.45965498
89,169.248331,-77.45962807
90,169.2481661,-77.45960116
91,169.2480014,-77.4595742
92,169.2478487,-77.45954408
93,169.2476961,-77.45951396
94,169.2475434,-77.45948384
95,169.2473907,-77.45945371
96,169.2472381,-77.45942359
97,169.2470868,-77.45939317
98,169.2469476,-77.45936013
99,169.2468083,-77.45932708
100,169.246669,-77.45929404
101,169.2465298,-77.459261
102,169.2463905,-77.45922795
103,169.2462513,-77.45919491
104,169.246112,-77.45916187
105,169.2459728,-77.45912882
106,169.2458335,-77.45909578
107,169.2456942,-77.45906274
108,169.245555,-77.45902969
109,169.2454157,-77.45899665
110,169.2452765,-77.45896361
111,169.2450814,-77.45894984
112,169.244884,-77.45893684
113,169.2446866,-77.45892385
114,169.2444893,-77.45891086
115,169.2442919,-77.45889786
116,169.2440945,-77.45888487
117,169.2438971,-77.45887188
118,169.2436998,-77.45885888
119,169.2435024,-77.45884589
120,169.243305,-77.4588329
121,169.2431077,-77.4588199
122,169.2429103,-77.45880691
123,169.2427129,-77.45879391
124,169.2425136,-77.45878822
125,169.2423106,-77.45879613
126,169.2421076,-77.45880403
127,169.2419046,-77.45881193
128,169.2417016,-77.45881984
129,169.2414986,-77.45882774
130,169.2412973,-77.4588372
131,169.2411005,-77.45885059
132,169.2409037,-77.45886398
133,169.2407069,-77.45887737
134,169.2405101,-77.45889076
135,169.2403133,-77.45890415
136,169.2401165,-77.45891754
137,169.2399197,-77.45893093
138,169.2397229,-77.45894431
139,169.2395261,-77.4589577
140,169.2393293,-77.45897109
141,169.2391324,-77.45898448
142,169.2389356,-77.45899787
143,169.2387388,-77.45901126
144,169.238542,-77.45902465
145,169.2383452,-77.45903803
146,169.2381484,-77.45905142
147,169.2379516,-77.45906481
148,169.2377548,-77.4590782
149,169.2375579,-77.45909158
150,169.2373611,-77.45910497
151,169.2371643,-77.45911836
152,169.2369675,-77.45913175
153,169.2367707,-77.45914513
154,169.2365739,-77.45915852
155,169.236377,-77.45917191
156,169.2361802,-77.45918529
157,169.2359834,-77.45919868
158,169.2358417,-77.45922555
159,169.2357571,-77.45926641
160,169.2356725,-77.45930726
161,169.2355879,-77.45934812
162,169.2355033,-77.45938897
163,169.2354187,-77.45942983
164,169.2353341,-77.45947068
165,169.2352495,-77.45951154
166,169.2351649,-77.45955239
167,169.2350804,-77.45959325
168,169.2349958,-77.4596341
169,169.2349112,-77.45967496
170,169.2348266,-77.45971581
171,169.234742,-77.45975667
172,169.2346574,-77.45979752
173,169.2345728,-77.45983838
174,169.2344882,-77.45987923
175,169.2344036,-77.45992009
176,169.234319,-77.45996094
177,169.2342344,-77.4600018
178,169.2341498,-77.46004265
179,169.2340652,-77.46008351
180,169.2339641,-77.46012252
181,169.2338604,-77.46016124
182,169.2337567,-77.46019997
183,169.233653,-77.46023869
184,169.2335493,-77.46027742
185,169.2334456,-77.46031614
186,169.2333419,-77.46035487
187,169.2332383,-77.46039359
188,169.2331266,-77.46043101
189,169.2329835,-77.46046328
190,169.2328405,-77.46049556
191,169.2327103,-77.46053021
192,169.232586,-77.46056596
193,169.2324617,-77.46060171
194,169.2323374,-77.46063747
195,169.2322132,-77.46067322
196,169.2320889,-77.46070897
197,169.2319646,-77.46074472
198,169.2318468,-77.46078144
199,169.2317371,-77.46081937
200,169.2316273,-77.4608573
201,169.2315176,-77.46089524
202,169.2314078,-77.46093317
203,169.2312981,-77.4609711
204,169.231188,-77.46100898
205,169.2310769,-77.46104673
206,169.2309659,-77.46108448
207,169.2308548,-77.46112223
208,169.2307438,-77.46115998
209,169.2306327,-77.46119773
210,169.2305217,-77.46123548
211,169.2304106,-77.46127323
212,169.2302996,-77.46131098
213,169.2301885,-77.46134873
214,169.2300775,-77.46138648
215,169.2299938,-77.46142741
216,169.2299108,-77.46146842
217,169.2298278,-77.46150943
218,169.2297447,-77.46155044
219,169.2296617,-77.46159145
220,169.2295787,-77.46163245
221,169.2294957,-77.46167346
222,169.2294127,-77.46171447
223,169.2293308,-77.46175559
224,169.2292505,-77.46179685
225,169.2291702,-77.46183812
226,169.2290899,-77.46187938
227,169.2290096,-77.46192064
228,169.2289293,-77.4619619
229,169.2288489,-77.46200316
230,169.2287686,-77.46204442
231,169.2286883,-77.46208568
232,169.2285591,-77.46212045
233,169.2284264,-77.46215475
234,169.2282937,-77.46218905
235,169.228161,-77.46222334
236,169.2280283,-77.46225764
237,169.2278956,-77.46229194
238,169.2277629,-77.46232623
239,169.2276302,-77.46236053
240,169.2274975,-77.46239482
241,169.2273369,-77.46242111
242,169.2271486,-77.46243942
243,169.2269604,-77.46245773
244,169.2267721,-77.46247604
245,169.2265838,-77.46249435
246,169.2263955,-77.46251266
247,169.2262072,-77.46253097
248,169.226019,-77.46254927
249,169.2258307,-77.46256758
250,169.2256424,-77.46258589
251,169.2254541,-77.4626042
252,169.2252658,-77.46262251
253,169.2250776,-77.46264081
254,169.2248997,-77.46263119
255,169.2247273,-77.46260657
256,169.224555,-77.46258194
257,169.2243827,-77.46255732
258,169.2242343,-77.46252677
259,169.2241002,-77.46249275
260,169.223966,-77.46245873
261,169.2238318,-77.4624247
262,169.2236993,-77.46239036
263,169.2235678,-77.46235584
264,169.2234363,-77.46232133
265,169.2233048,-77.46228681
