FID,lat,lon
0,-77.460226521099997,169.280402931999990
1,-77.460241141099999,169.280597897000010
2,-77.460255760999999,169.280792862000000
3,-77.460270380799997,169.280987826999990
4,-77.460285000400006,169.281182793000000
5,-77.460299619899999,169.281377760000000
6,-77.460314239300004,169.281572727000000
7,-77.460328858400004,169.281767694000000
8,-77.460343477500004,169.281962662000010
9,-77.460358096400000,169.282157630000000
10,-77.460372715199995,169.282352597999990
11,-77.460380315999998,169.282552890999990
12,-77.460380054300003,169.282759148999990
13,-77.460379792500007,169.282965405999990
14,-77.460379530500006,169.283171664000010
15,-77.460379268400004,169.283377921000010
16,-77.460379006099998,169.283584179000000
17,-77.460378743600003,169.283790436000000
18,-77.460379849299997,169.283995454000010
19,-77.460397053999998,169.284185896999990
20,-77.460414258599997,169.284376339000000
21,-77.460431463099994,169.284566783000000
22,-77.460448667400001,169.284757226000010
23,-77.460465871599993,169.284947671000000
24,-77.460483075699997,169.285138115000000
25,-77.460500279599998,169.285328561000000
26,-77.460519762199993,169.285514148000000
27,-77.460540172300000,169.285697758999990
28,-77.460560582300005,169.285881370000000
29,-77.460580992199993,169.286064982000000
30,-77.460601401900007,169.286248594000000
31,-77.460627659400004,169.286413315999990
32,-77.460658210800005,169.286564168000010
33,-77.460688762100006,169.286715020999990
34,-77.460719313300004,169.286865874000000
35,-77.460749864400000,169.287016728000000
36,-77.460780415499997,169.287167583000010
37,-77.460810966500006,169.287318438000000
38,-77.460841517299997,169.287469294000000
39,-77.460872068100002,169.287620151000000
40,-77.460902618800006,169.287771009000010
41,-77.460933518100006,169.287920176000000
42,-77.460967819900006,169.288052843000000
43,-77.461002121600004,169.288185510000010
44,-77.461036423199999,169.288318178000000
45,-77.461070724799995,169.288450847000010
46,-77.461105026300004,169.288583515999990
47,-77.461139327799998,169.288716187000010
48,-77.461173629200005,169.288848857000000
49,-77.461207930499995,169.288981529000010
50,-77.461242231699998,169.289114200999990
51,-77.461276532900001,169.289246874000010
52,-77.461309262599997,169.289386325000010
53,-77.461335765800001,169.289552625999990
54,-77.461362269000006,169.289718927000000
55,-77.461388772099994,169.289885230000010
56,-77.461415274999993,169.290051533000000
57,-77.461441777900006,169.290217836000010
58,-77.461468280600002,169.290384139999990
59,-77.461494783299997,169.290550445000010
60,-77.461527584500004,169.290684400000000
61,-77.461566368899994,169.290787623999990
62,-77.461605153199997,169.290890848000000
63,-77.461643937500000,169.290994073000010
64,-77.461678571899995,169.291124583000000
65,-77.461712893500007,169.291257148000000
66,-77.461747215100004,169.291389715000010
67,-77.461781536600000,169.291522281000000
68,-77.461815857999994,169.291654849000000
69,-77.461851613400000,169.291778806000000
70,-77.461888318299998,169.291897062999990
71,-77.461925023099994,169.292015319999990
72,-77.461961727800002,169.292133578000000
73,-77.461998432499996,169.292251835999990
74,-77.462030602599995,169.292387251000010
75,-77.462048672500003,169.292576010999990
76,-77.462066742299996,169.292764772000000
77,-77.462084811899999,169.292953533999990
78,-77.462102881400000,169.293142296000010
79,-77.462140313500001,169.293248782000010
80,-77.462179721900000,169.293346872000000
81,-77.462219130199998,169.293444962000000
82,-77.462258538499995,169.293543053000010
83,-77.462297946700005,169.293641143999990
84,-77.462334168400005,169.293761866000010
85,-77.462369693599996,169.293887535000010
86,-77.462405218800001,169.294013204000010
87,-77.462440743900004,169.294138874000000
88,-77.462476268900005,169.294264545000000
89,-77.462513110299994,169.294381340999990
90,-77.462551451699994,169.294488024999990
91,-77.462589793000006,169.294594708999990
92,-77.462628134300004,169.294701395000000
93,-77.462666475600003,169.294808080000000
94,-77.462693563900004,169.294968399999990
95,-77.462718032599994,169.295141204000000
96,-77.462742501299999,169.295314009000010
97,-77.462766969900002,169.295486815000000
98,-77.462791438300002,169.295659621000000
99,-77.462815906700001,169.295832428000010
100,-77.462840374899997,169.296005235000000
101,-77.462864843000006,169.296178043999990
102,-77.462894119500007,169.296332874999990
103,-77.462925815399998,169.296478659999990
104,-77.462957511200003,169.296624446000010
105,-77.462989207000007,169.296770232999990
106,-77.463020902599993,169.296916020999990
107,-77.463052598199994,169.297061809000010
108,-77.463084293700007,169.297207598999990
109,-77.463119246800005,169.297308910000000
110,-77.463163640900007,169.297281317999990
111,-77.463208034900006,169.297253726000010
112,-77.463252428999994,169.297226134000000
