FID,lat,lon
0,-77.46014473,169.2804877
1,-77.46014886,169.280693
2,-77.46015298,169.2808984
3,-77.4601571,169.2811038
4,-77.46016123,169.2813092
5,-77.46016535,169.2815146
6,-77.46016947,169.2817199
7,-77.4601736,169.2819253
8,-77.46017842,169.2821304
9,-77.46018334,169.2823354
10,-77.46018826,169.2825404
11,-77.46019318,169.2827454
12,-77.46019811,169.2829504
13,-77.46020303,169.2831554
14,-77.46020795,169.2833604
15,-77.46021287,169.2835654
16,-77.46021779,169.2837705
17,-77.46023296,169.2839644
18,-77.46024834,169.2841581
19,-77.46026373,169.2843518
20,-77.46027911,169.2845456
21,-77.4602945,169.2847393
22,-77.46030988,169.284933
23,-77.46032526,169.2851267
24,-77.46034065,169.2853204
25,-77.46035603,169.2855141
26,-77.46037141,169.2857079
27,-77.46039411,169.2858836
28,-77.46042056,169.28605
29,-77.460447,169.2862165
30,-77.46047344,169.286383
31,-77.46049988,169.2865495
32,-77.46052632,169.286716
33,-77.46055317,169.286881
34,-77.46058285,169.2870355
35,-77.46061252,169.2871901
36,-77.46064219,169.2873446
37,-77.46067187,169.2874991
38,-77.46070154,169.2876536
39,-77.46073122,169.2878081
40,-77.46076089,169.2879627
41,-77.46079057,169.2881172
42,-77.46082337,169.2882569
43,-77.46085764,169.2883898
44,-77.4608919,169.2885227
45,-77.46092616,169.2886556
46,-77.46096042,169.2887885
47,-77.46099469,169.2889213
48,-77.46102895,169.2890542
49,-77.46106321,169.2891871
50,-77.46109747,169.28932
51,-77.46113173,169.2894529
52,-77.46116599,169.2895858
53,-77.4611994,169.2897232
54,-77.46123281,169.2898606
55,-77.46126622,169.289998
56,-77.46129964,169.2901354
57,-77.46133305,169.2902728
58,-77.46136646,169.2904102
59,-77.46139987,169.2905476
60,-77.46143328,169.290685
61,-77.46146608,169.2908255
62,-77.46149812,169.2909696
63,-77.46153015,169.2911138
64,-77.46156219,169.291258
65,-77.46159582,169.2913941
66,-77.46163013,169.2915267
67,-77.46166444,169.2916593
68,-77.46169875,169.291792
69,-77.46173306,169.2919246
70,-77.46176716,169.2920584
71,-77.46180108,169.2921931
72,-77.46183501,169.2923278
73,-77.46186893,169.2924625
74,-77.46190285,169.2925973
75,-77.46193475,169.2927417
76,-77.46196522,169.2928929
77,-77.46199569,169.2930441
78,-77.46202616,169.2931953
79,-77.46205714,169.2933441
80,-77.46209124,169.2934778
81,-77.46212534,169.2936116
82,-77.46215944,169.2937454
83,-77.46219355,169.2938791
84,-77.4622279,169.2940112
85,-77.46226768,169.2941061
86,-77.46230745,169.294201
87,-77.46234723,169.2942959
88,-77.462387,169.2943907
89,-77.46242678,169.2944856
90,-77.46245876,169.2946236
91,-77.46248619,169.2947867
92,-77.46251362,169.2949498
93,-77.46254105,169.2951129
94,-77.46256848,169.295276
95,-77.46259382,169.295445
96,-77.46261327,169.2956309
97,-77.46263273,169.2958167
98,-77.46265218,169.2960026
99,-77.46267163,169.2961884
100,-77.46269108,169.2963742
101,-77.46271053,169.2965601
102,-77.46273445,169.2967281
103,-77.46277159,169.2968434
104,-77.46280873,169.2969588
105,-77.46284587,169.2970741
106,-77.46288301,169.2971895
107,-77.46292015,169.2973048
108,-77.46295729,169.2974202
109,-77.46299443,169.2975355
110,-77.46303157,169.2976509
111,-77.46306993,169.2977367
112,-77.46311369,169.2976925
113,-77.46315744,169.2976483
114,-77.4632012,169.297604
115,-77.46324495,169.2975598
116,-77.4632887,169.2975155
117,-77.46333246,169.2974713
118,-77.46337621,169.2974271
119,-77.46341997,169.2973828
120,-77.46346372,169.2973386
121,-77.46350748,169.2972943
122,-77.46355123,169.2972501
123,-77.4635934,169.2971849
124,-77.46363365,169.2970944
125,-77.46367391,169.2970038
126,-77.46371416,169.2969133
127,-77.46375441,169.2968228
128,-77.46379467,169.2967322
129,-77.46383618,169.2966591
130,-77.46388018,169.2966202
131,-77.46392417,169.2965813
132,-77.46396816,169.2965424
133,-77.46401215,169.2965035
134,-77.46405615,169.2964645
135,-77.46410014,169.2964256
136,-77.46414413,169.2963867
137,-77.46418812,169.2963478
138,-77.46423131,169.2962975
139,-77.46427183,169.2962095
140,-77.46431236,169.2961216
141,-77.46435288,169.2960337
142,-77.46439341,169.2959457
143,-77.46443393,169.2958578
144,-77.46447445,169.2957698
145,-77.46451498,169.2956819
146,-77.46454687,169.295558
147,-77.46456183,169.2953635
148,-77.46457678,169.295169
149,-77.46459173,169.2949745
150,-77.46460669,169.29478
151,-77.46462164,169.2945855
152,-77.46463659,169.294391
153,-77.46465154,169.2941965
154,-77.46466649,169.294002
155,-77.46466065,169.2938109
156,-77.46464282,169.2936216
157,-77.46462499,169.2934323
158,-77.46460716,169.293243
159,-77.46458933,169.2930537
160,-77.4645715,169.2928645
161,-77.46455367,169.2926752
162,-77.46453584,169.2924859
163,-77.464518,169.2922966
164,-77.46450017,169.2921074
165,-77.46448234,169.2919181
166,-77.46447115,169.2917207
167,-77.46446617,169.2915156
168,-77.4644612,169.2913106
