"FID","lat","lon"
2768,37.9997942981,-119.059063576
2769,37.9997936559,-119.059093886
2770,37.9997953713,-119.059124195
2771,37.9997989666,-119.059154304
2772,37.9998041611,-119.059184208
2773,37.9998101707,-119.059213965
2774,37.9998161804,-119.059243722
2775,37.99982219,-119.05927348
2776,37.9998281997,-119.059303237
2777,37.9998342093,-119.059332994
2778,37.9998402189,-119.059362752
2779,37.9998462286,-119.059392509
2780,37.9998522382,-119.059422266
2781,37.9998582479,-119.059452023
2782,37.9998642575,-119.059481781
2783,37.9998702672,-119.059511538
2784,37.9998762768,-119.059541295
2785,37.9998822865,-119.059571053
2786,37.9998882961,-119.05960081
2787,37.9998943058,-119.059630567
2788,37.9999015052,-119.059660036
2789,37.9999100987,-119.059689153
2790,37.9999212478,-119.059717344
2791,37.9999337233,-119.05974499
2792,37.9999491955,-119.05977111
2793,37.9999665366,-119.059795945
2794,37.9999854789,-119.059819656
2795,38.0000075323,-119.059840518
2796,38.0000312276,-119.059859354
2797,38.0000565475,-119.059876017
2798,38.000084008,-119.059888961
2799,38.0001127453,-119.059898523
2800,38.000142237,-119.059905638
2801,38.0001719475,-119.059911874
2802,38.0002016581,-119.059918111
2803,38.0002313686,-119.059924348
2804,38.0002610791,-119.059930584
2805,38.0002907896,-119.059936821
2806,38.0003205002,-119.059943058
2807,38.0003502107,-119.059949295
2808,38.0003799212,-119.059955531
2809,38.0004096317,-119.059961768
2810,38.0004393423,-119.059968005
2811,38.0004690528,-119.059974242
2812,38.0004987633,-119.059980478
2813,38.0005284738,-119.059986715
2814,38.0005581844,-119.059992952
2815,38.0005878949,-119.059999188
2816,38.0006176108,-119.060005399
2817,38.0006477834,-119.060008567
2818,38.0006780182,-119.060008452
2819,38.0007080771,-119.060004748
2820,38.0007373492,-119.0599967
2821,38.0007651202,-119.059984596
2822,38.0007914814,-119.059969743
2823,38.0008164111,-119.059952431
2824,38.0008384644,-119.059931568
2825,38.0008594122,-119.05990964
2826,38.0008792964,-119.0598867
2827,38.0008991807,-119.05986376
2828,38.0009190649,-119.059840821
2829,38.0009389491,-119.059817881
2830,38.0009588334,-119.059794941
2831,38.0009787176,-119.059772002
2832,38.0009986018,-119.059749062
2833,38.0010184861,-119.059726122
2834,38.0010383703,-119.059703183
2835,38.0010582545,-119.059680243
2836,38.0010781388,-119.059657303
2837,38.001098023,-119.059634364
2838,38.0011179072,-119.059611424
2839,38.0011377915,-119.059588484
2840,38.0011576757,-119.059565545
2841,38.0011775599,-119.059542605
2842,38.0011974442,-119.059519665
2843,38.0012173284,-119.059496725
2844,38.0012372126,-119.059473786
2845,38.0012570969,-119.059450846
2846,38.0012769811,-119.059427906
2847,38.0012968653,-119.059404967
2848,38.0013167496,-119.059382027
2849,38.0013366336,-119.059359087
2850,38.0013555005,-119.059335306
2851,38.0013726608,-119.05931034
2852,38.0013881328,-119.05928422
2853,38.0014004973,-119.059256517
2854,38.0014115348,-119.059228286
2855,38.0014201281,-119.059199169
2856,38.0014265131,-119.059169539
2857,38.0014316631,-119.059139621
2858,38.0014334922,-119.059109324
2859,38.001434248,-119.059079015
2860,38.0014325326,-119.059048705
2861,38.0014287822,-119.059018627
2862,38.0014236322,-119.058988709
2863,38.0014156857,-119.058959422
2864,38.0014075035,-119.058930188
2865,38.0013994942,-119.058900905
2866,38.0013914849,-119.058871623
2867,38.0013834756,-119.05884234
2868,38.0013754663,-119.058813058
2869,38.001367457,-119.058783776
2870,38.0013594477,-119.058754493
2871,38.0013514384,-119.058725211
2872,38.0013434291,-119.058695928
2873,38.0013354198,-119.058666646
2874,38.0013274105,-119.058637363
2875,38.0013194012,-119.058608081
2876,38.0013113918,-119.058578798
2877,38.0013033825,-119.058549516
2878,38.0012953732,-119.058520233
2879,38.0012873639,-119.058490951
2880,38.0012793546,-119.058461668
2881,38.0012713453,-119.058432386
2882,38.001263336,-119.058403103
2883,38.0012553267,-119.058373821
2884,38.0012464661,-119.05834479
2885,38.001235451,-119.058316539
2886,38.0012233178,-119.058288718
2887,38.0012078458,-119.058262598
2888,38.0011908405,-119.058237532
2889,38.0011720026,-119.058213726
2890,38.0011501657,-119.058192665
2891,38.001126763,-119.058173468
2892,38.0011016898,-119.058156376
2893,38.0010742293,-119.058143433
2894,38.0010455897,-119.058133676
2895,38.0010160321,-119.058127205
2896,38.0009857973,-119.058124473
2897,38.000955493,-119.058125947
2898,38.0009252282,-119.058128324
2899,38.0008949634,-119.058130702
2900,38.0008646986,-119.05813308
2901,38.0008344338,-119.058135457
2902,38.000804169,-119.058137835
2903,38.0007739042,-119.058140213
2904,38.0007436394,-119.05814259
2905,38.0007133746,-119.058144968
2906,38.0006831097,-119.058147345
2907,38.0006528449,-119.058149723
2908,38.0006225801,-119.058152101
2909,38.0005923153,-119.058154478
2910,38.0005620505,-119.058156856
2911,38.0005317857,-119.058159234
