"FID","lat","lon"
2400,37.9961638582,-119.059208885
2401,37.996163216,-119.059239195
2402,37.9961649315,-119.059269504
2403,37.996168796,-119.059299569
2404,37.9961739463,-119.059329487
2405,37.9961823721,-119.059358642
2406,37.9961920053,-119.059387382
2407,37.9962040472,-119.05941525
2408,37.9962184453,-119.059441916
2409,37.9962343065,-119.059467769
2410,37.9962531452,-119.059491574
2411,37.9962739243,-119.059513599
2412,37.9962961485,-119.05953427
2413,37.9963199306,-119.059553138
2414,37.9963437127,-119.059572007
2415,37.9963674948,-119.059590876
2416,37.9963912768,-119.059609744
2417,37.9964150589,-119.059628613
2418,37.996438841,-119.059647481
2419,37.9964626231,-119.05966635
2420,37.9964864051,-119.059685219
2421,37.9965101872,-119.059704087
2422,37.9965339693,-119.059722956
2423,37.9965577514,-119.059741824
2424,37.9965815335,-119.059760693
2425,37.9966053155,-119.059779562
2426,37.9966290976,-119.05979843
2427,37.9966528797,-119.059817299
2428,37.9966766618,-119.059836168
2429,37.9967004439,-119.059855036
2430,37.9967242259,-119.059873905
2431,37.996748008,-119.059892773
2432,37.9967717901,-119.059911642
2433,37.9967955722,-119.059930511
2434,37.9968193542,-119.059949379
2435,37.9968431363,-119.059968248
2436,37.9968669184,-119.059987117
2437,37.9968907005,-119.060005985
2438,37.9969144826,-119.060024854
2439,37.9969382646,-119.060043722
2440,37.9969620467,-119.060062591
2441,37.9969858288,-119.06008146
2442,37.9970096109,-119.060100328
2443,37.9970333929,-119.060119197
2444,37.997057175,-119.060138065
2445,37.9970809571,-119.060156934
2446,37.9971047392,-119.060175803
2447,37.9971285213,-119.060194671
2448,37.9971523033,-119.06021354
2449,37.9971760854,-119.060232409
2450,37.9971998675,-119.060251277
2451,37.9972245305,-119.060268949
2452,37.9972504777,-119.060284534
2453,37.9972779767,-119.060297396
2454,37.9973064803,-119.060307817
2455,37.9973350647,-119.060318042
2456,37.997363649,-119.060328266
2457,37.9973922334,-119.060338491
2458,37.9974208178,-119.060348716
2459,37.9974494021,-119.060358941
2460,37.9974779865,-119.060369165
2461,37.9975065708,-119.06037939
2462,37.9975351552,-119.060389615
2463,37.9975637396,-119.06039984
2464,37.9975923239,-119.060410065
2465,37.9976209083,-119.060420289
2466,37.9976494926,-119.060430514
2467,37.997678077,-119.060440739
2468,37.9977066614,-119.060450964
2469,37.9977352457,-119.060461189
2470,37.9977638301,-119.060471413
2471,37.9977924145,-119.060481638
2472,37.9978209988,-119.060491863
2473,37.9978495832,-119.060502088
2474,37.9978781675,-119.060512313
2475,37.9979067519,-119.060522537
2476,37.9979353363,-119.060532762
2477,37.9979639206,-119.060542987
2478,37.997992505,-119.060553212
2479,37.9980210893,-119.060563436
2480,37.9980496737,-119.060573661
2481,37.9980782581,-119.060583886
2482,37.9981068424,-119.060594111
2483,37.9981306078,-119.060612462
2484,37.998153291,-119.060632639
