"FID","lat","lon"
0,38.0275138885,-119.049234476
1,38.0275132466,-119.049264786
2,38.0275149613,-119.049295095
3,38.0275188242,-119.04932516
4,38.0275239723,-119.049355079
5,38.027532439,-119.049384222
6,38.0275415565,-119.049413166
7,38.027552051,-119.049441652
8,38.0275625456,-119.049470139
9,38.0275730401,-119.049498625
10,38.0275835346,-119.049527111
11,38.0275940291,-119.049555598
12,38.0276045237,-119.049584084
13,38.0276150182,-119.049612571
14,38.0276255127,-119.049641057
15,38.0276360072,-119.049669544
16,38.0276465018,-119.04969803
17,38.0276569963,-119.049726516
18,38.0276674908,-119.049755003
19,38.0276779853,-119.049783489
20,38.0276884799,-119.049811976
21,38.0276991859,-119.049840377
22,38.0277113135,-119.049868208
23,38.0277250664,-119.049895231
24,38.0277405512,-119.049921336
25,38.0277564587,-119.049947193
26,38.0277723661,-119.049973049
27,38.0277882736,-119.049998906
28,38.0278041811,-119.050024763
29,38.0278200885,-119.050050619
30,38.027835996,-119.050076476
31,38.0278519034,-119.050102333
32,38.0278678109,-119.050128189
33,38.0278837184,-119.050154046
34,38.0278996258,-119.050179902
35,38.0279155333,-119.050205759
36,38.0279314408,-119.050231616
37,38.0279473482,-119.050257472
38,38.0279632557,-119.050283329
39,38.0279791631,-119.050309185
40,38.0279947112,-119.050335246
41,38.0280087007,-119.050362188
42,38.0280226902,-119.050389131
43,38.0280366797,-119.050416074
44,38.0280506692,-119.050443016
45,38.0280646587,-119.050469959
46,38.0280786481,-119.050496901
47,38.0280926376,-119.050523844
48,38.0281066271,-119.050550787
49,38.0281206166,-119.050577729
50,38.028135389,-119.050604235
51,38.0281510628,-119.050630226
52,38.0281698964,-119.050654036
53,38.0281903549,-119.050676359
54,38.0282125009,-119.050697107
55,38.0282374843,-119.050714353
56,38.0282638288,-119.050729284
57,38.0282914804,-119.050741774
58,38.0283195326,-119.050753379
59,38.0283475848,-119.050764985
60,38.0283756369,-119.05077659
61,38.0284036891,-119.050788196
62,38.0284317413,-119.050799801
63,38.0284597934,-119.050811407
64,38.0284878456,-119.050823012
65,38.0285163358,-119.050833367
66,38.0285456071,-119.050841417
67,38.0285757987,-119.050844389
68,38.0286060334,-119.050843747
69,38.0286359989,-119.050839527
70,38.0286652701,-119.050831477
71,38.0286928632,-119.050818893
72,38.0287189802,-119.050803615
73,38.0287436192,-119.050785944
74,38.0287656684,-119.050765076
75,38.0287856435,-119.050742311
76,38.0288041885,-119.050718295
77,38.0288203291,-119.050692586
78,38.0288361194,-119.050666658
79,38.0288519098,-119.050640729
80,38.0288677001,-119.050614801
81,38.0288834904,-119.050588873
82,38.0288992808,-119.050562944
83,38.0289150711,-119.050537016
84,38.0289308615,-119.050511088
85,38.0289466518,-119.050485159
86,38.0289624421,-119.050459231
87,38.0289782325,-119.050433303
88,38.0289938826,-119.050407293
89,38.0290081171,-119.050380506
90,38.0290201544,-119.050352637
91,38.0290301817,-119.05032404
92,38.0290387721,-119.050294922
93,38.0290441494,-119.050265057
94,38.0290484747,-119.050235042
95,38.0290504452,-119.050204748
96,38.0290512141,-119.050174404
97,38.0290517256,-119.050144051
98,38.029052237,-119.050113697
99,38.0290527484,-119.050083343
100,38.0290532599,-119.050052989
101,38.0290537713,-119.050022636
102,38.0290542827,-119.049992282
103,38.0290547942,-119.049961928
104,38.0290553056,-119.049931574
105,38.029055817,-119.049901221
106,38.0290563285,-119.049870867
107,38.0290568399,-119.049840513
108,38.0290573513,-119.049810159
109,38.0290578628,-119.049779806
110,38.0290583742,-119.049749452
111,38.0290588856,-119.049719098
112,38.0290593971,-119.049688744
113,38.0290599085,-119.049658391
114,38.0290604199,-119.049628037
115,38.0290605253,-119.049597689
116,38.0290588106,-119.049567379
117,38.0290554949,-119.049537252
118,38.0290503469,-119.049507334
119,38.029042833,-119.049477947
120,38.0290339183,-119.049448935
121,38.0290244256,-119.0494201
122,38.0290149328,-119.049391264
123,38.0290054401,-119.049362428
124,38.0289959474,-119.049333592
125,38.0289864547,-119.049304757
126,38.0289769619,-119.049275921
127,38.0289674692,-119.049247085
128,38.0289579765,-119.049218249
129,38.028949399,-119.04918913
130,38.0289409555,-119.049159974
131,38.0289333046,-119.049130596
132,38.0289256537,-119.049101218
133,38.0289180028,-119.04907184
134,38.0289103519,-119.049042462
135,38.028902701,-119.049013083
136,38.0288950502,-119.048983705
137,38.0288873993,-119.048954327
138,38.0288797484,-119.048924949
139,38.0288720975,-119.048895571
140,38.0288636831,-119.048866411
141,38.0288536844,-119.048837786
142,38.0288416471,-119.048809916
143,38.0288271775,-119.048783286
144,38.0288112458,-119.048757483
145,38.0287924123,-119.048733673
146,38.0287716001,-119.048711673
147,38.0287491314,-119.048691324
148,38.028724148,-119.048674077
149,38.028697803,-119.048659087
150,38.0286705651,-119.048645682
151,38.0286433271,-119.048632276
152,38.0286160891,-119.048618871
153,38.0285888511,-119.048605465
154,38.0285616132,-119.04859206
155,38.0285343752,-119.048578655
156,38.0285071372,-119.048565249
157,38.0284798992,-119.048551844
158,38.0284526613,-119.048538438
159,38.0284254233,-119.048525033
160,38.0283981853,-119.048511628
161,38.0283705322,-119.048499122
162,38.0283415119,-119.048490357
163,38.0283117919,-119.048484783
164,38.0282815572,-119.048482749
165,38.0282513225,-119.048485482
166,38.0282214619,-119.048490788
167,38.0281917131,-119.048496839
168,38.0281619642,-119.048502891
169,38.0281322154,-119.048508942
170,38.0281024666,-119.048514993
171,38.0280727177,-119.048521045
172,38.0280429689,-119.048527096
173,38.0280132201,-119.048533147
174,38.0279834712,-119.048539199
175,38.0279537224,-119.04854525
176,38.0279239736,-119.048551302
177,38.0278942247,-119.048557353
178,38.0278644759,-119.048563404
179,38.0278351443,-119.048571163
180,38.0278069008,-119.048582023
181,38.0277798435,-119.048595667
182,38.0277548601,-119.048612914
183,38.0277320404,-119.04863283
184,38.0277108435,-119.048654478
185,38.0276920098,-119.048678287
186,38.0276756754,-119.048703814
187,38.0276607954,-119.048730236
188,38.027648758,-119.048758105
189,38.0276380271,-119.048786476
190,38.0276289368,-119.048815441
191,38.0276198692,-119.048844413
192,38.0276108016,-119.048873385
193,38.027601734,-119.048902357
194,38.0275926664,-119.04893133
195,38.0275835988,-119.048960302
196,38.0275745312,-119.048989274
197,38.0275654636,-119.049018246
198,38.027556396,-119.049047219
199,38.0275473284,-119.049076191
200,38.0275382608,-119.049105163
201,38.0275296121,-119.049134258
202,38.0275225571,-119.049163754
203,38.027517409,-119.049193672
