"FID","lat","lon"
1502,38.0315595511,-119.038464577
1503,38.0315360068,-119.038445413
1504,38.0315124625,-119.038426248
1505,38.0314889182,-119.038407084
1506,38.0314653739,-119.038387919
1507,38.0314418296,-119.038368755
1508,38.0314182853,-119.03834959
1509,38.031394741,-119.038330426
1510,38.0313711968,-119.038311261
1511,38.0313476525,-119.038292097
1512,38.0313241082,-119.038272932
1513,38.0313005639,-119.038253768
1514,38.0312770196,-119.038234603
1515,38.0312534753,-119.038215439
1516,38.031229931,-119.038196274
1517,38.0312053,-119.038178558
1518,38.0311795063,-119.038162719
1519,38.0311520479,-119.038149772
1520,38.0311228767,-119.038141451
1521,38.0310930359,-119.038136544
1522,38.0310628012,-119.038135195
1523,38.0310325665,-119.038137929
1524,38.0310032138,-119.03814553
1525,38.0309746087,-119.038155529
1526,38.0309467898,-119.038167683
1527,38.0309189708,-119.038179837
1528,38.0308911519,-119.038191991
1529,38.030863333,-119.038204145
1530,38.0308355141,-119.038216299
1531,38.0308099581,-119.038224505
1532,38.0308063877,-119.038194358
1533,38.0308023829,-119.038164274
1534,38.0307971648,-119.038134368
1535,38.0307897286,-119.038104981
1536,38.0307811106,-119.038075873
1537,38.0307690736,-119.038048003
1538,38.0307556866,-119.038020821
1539,38.0307402192,-119.037994699
1540,38.0307227258,-119.037969916
1541,38.0307044489,-119.037945676
1542,38.030686172,-119.037921436
1543,38.0306678951,-119.037897196
1544,38.0306496182,-119.037872956
1545,38.0306313413,-119.037848717
1546,38.0306130644,-119.037824477
1547,38.0305947875,-119.037800237
1548,38.0305765106,-119.037775997
1549,38.0305572838,-119.037752509
1550,38.0305356377,-119.037731264
1551,38.0305124836,-119.03771176
1552,38.0304875004,-119.037694513
1553,38.0304601608,-119.037681359
1554,38.0304317295,-119.037670991
1555,38.0304023365,-119.037663482
1556,38.0303726121,-119.037657311
1557,38.0303428878,-119.037651141
1558,38.0303131635,-119.03764497
1559,38.0302834392,-119.0376388
1560,38.0302537148,-119.037632629
1561,38.0302239905,-119.037626458
1562,38.0301942662,-119.037620288
1563,38.0301645419,-119.037614117
1564,38.0301348175,-119.037607947
1565,38.0301050843,-119.03760182
1566,38.0300748793,-119.037598877
1567,38.0300446446,-119.037599392
1568,38.0300146567,-119.037603488
1569,38.0299853854,-119.037611538
1570,38.0299577502,-119.037624008
1571,38.0299311933,-119.037638605
1572,38.0299060005,-119.03765554
1573,38.0298808761,-119.037672581
1574,38.0298557517,-119.037689621
1575,38.0298306273,-119.037706662
1576,38.0298055029,-119.037723702
1577,38.0297803785,-119.037740743
1578,38.0297552541,-119.037757783
1579,38.0297301297,-119.037774823
1580,38.0297050053,-119.037791864
1581,38.0296801661,-119.037809306
1582,38.0296571473,-119.037829019
1583,38.0296354448,-119.037850203
1584,38.0296166114,-119.037874013
1585,38.029599748,-119.037899177
1586,38.0295843287,-119.037925323
1587,38.0295722915,-119.037953193
1588,38.0295612324,-119.037981436
1589,38.0295521572,-119.038010404
1590,38.0295432927,-119.038039439
1591,38.0295344282,-119.038068474
1592,38.0295255637,-119.038097509
1593,38.0295166992,-119.038126544
1594,38.0295078347,-119.038155579
1595,38.0294989701,-119.038184614
1596,38.0294901056,-119.038213649
1597,38.0294812411,-119.038242684
1598,38.0294723766,-119.038271719
1599,38.0294635121,-119.038300754
1600,38.0294546476,-119.038329789
1601,38.029445783,-119.038358824
1602,38.0294369185,-119.038387859
1603,38.029428054,-119.038416894
1604,38.0294191895,-119.038445929
1605,38.029410325,-119.038474964
1606,38.0294014605,-119.038503999
1607,38.0293925959,-119.038533034
1608,38.029384198,-119.038562203
1609,38.0293777337,-119.038591831
1610,38.0293726323,-119.038621757
1611,38.0293689908,-119.038651886
1612,38.0293657417,-119.03868207
1613,38.0293624926,-119.038712254
1614,38.0293592434,-119.038742438
1615,38.0293559943,-119.038772621
1616,38.0293527452,-119.038802805
1617,38.0293494961,-119.038832989
1618,38.029346247,-119.038863172
1619,38.0293429978,-119.038893356
1620,38.0293397487,-119.03892354
1621,38.0293364996,-119.038953723
1622,38.0293332505,-119.038983907
1623,38.0293300014,-119.039014091
1624,38.0293267523,-119.039044274
1625,38.0293235031,-119.039074458
1626,38.029320254,-119.039104642
1627,38.0293170049,-119.039134826
1628,38.0293137558,-119.039165009
1629,38.0293105067,-119.039195193
1630,38.0293072575,-119.039225377
1631,38.0293040084,-119.03925556
1632,38.0293007593,-119.039285744
1633,38.0292982355,-119.039315993
1634,38.0292967263,-119.039346309
1635,38.0292956072,-119.039376646
1636,38.0292944882,-119.039406984
1637,38.0292933692,-119.039437321
1638,38.0292922502,-119.039467659
1639,38.0292911311,-119.039497996
1640,38.0292900121,-119.039528334
1641,38.0292888931,-119.039558671
1642,38.029287774,-119.039589009
1643,38.029286655,-119.039619346
1644,38.029285536,-119.039649683
1645,38.0292844169,-119.039680021
1646,38.029282726,-119.039710298
1647,38.0292774789,-119.039740199
1648,38.0292722318,-119.0397701
1649,38.0292669847,-119.039800001
1650,38.0292617376,-119.039829902
1651,38.0292564905,-119.039859804
1652,38.0292512434,-119.039889705
1653,38.0292459963,-119.039919606
1654,38.0292407492,-119.039949507
1655,38.0292247212,-119.039975143
1656,38.0292080892,-119.040000539
1657,38.0291914571,-119.040025936
1658,38.0291748251,-119.040051333
1659,38.029158193,-119.040076729
1660,38.0291415609,-119.040102126
1661,38.0291249289,-119.040127522
1662,38.0291082968,-119.040152919
1663,38.0290916648,-119.040178316
1664,38.0290750327,-119.040203712
1665,38.0290584007,-119.040229109
1666,38.0290417686,-119.040254505
1667,38.0290251366,-119.040279902
1668,38.0290085045,-119.040305298
1669,38.0289921694,-119.040330885
1670,38.0289761087,-119.040356647
1671,38.028960048,-119.040382409
1672,38.0289439873,-119.040408171
1673,38.0289279266,-119.040433932
1674,38.0289118659,-119.040459694
1675,38.0288958052,-119.040485456
1676,38.0288797445,-119.040511217
1677,38.0288636838,-119.040536979
1678,38.0288476231,-119.040562741
1679,38.0288315624,-119.040588503
1680,38.0288155017,-119.040614264
1681,38.028799441,-119.040640026
1682,38.0287833803,-119.040665788
1683,38.0287715274,-119.040671257
1684,38.0287670341,-119.040641233
1685,38.0287625409,-119.040611209
1686,38.0287580476,-119.040581185
1687,38.0287535544,-119.040551162
1688,38.0287490611,-119.040521138
1689,38.0287445679,-119.040491114
1690,38.0287400746,-119.040461091
1691,38.0287355813,-119.040431067
1692,38.0287310881,-119.040401043
1693,38.0287265948,-119.04037102
1694,38.0287221016,-119.040340996
1695,38.0287176083,-119.040310972
1696,38.0287131151,-119.040280948
1697,38.0287086218,-119.040250925
1698,38.0287041286,-119.040220901
1699,38.0286996353,-119.040190877
1700,38.0286951421,-119.040160854
1701,38.0286906488,-119.04013083
1702,38.0286861555,-119.040100806
1703,38.0286816623,-119.040070782
1704,38.028677169,-119.040040759
1705,38.0286717211,-119.040010898
1706,38.0286641339,-119.039981537
1707,38.0286555297,-119.039952425
1708,38.0286434924,-119.039924555
1709,38.028630119,-119.039897366
1710,38.0286146513,-119.039871244
1711,38.0285964294,-119.039847014
1712,38.028576675,-119.039824043
1713,38.0285547278,-119.039803068
1714,38.028531476,-119.039783559
1715,38.0285081084,-119.039764179
1716,38.0284847408,-119.0397448
1717,38.0284613732,-119.03972542
1718,38.0284380056,-119.03970604
1719,38.028414638,-119.039686661
1720,38.0283926148,-119.039665835
1721,38.028371583,-119.039643943
1722,38.0283505513,-119.03962205
1723,38.0283295195,-119.039600158
1724,38.0283084877,-119.039578265
1725,38.0282874559,-119.039556373
1726,38.0282664241,-119.039534481
1727,38.0282453924,-119.039512588
1728,38.0282243606,-119.039490696
1729,38.0282020788,-119.03947008
1730,38.0281777352,-119.039452033
1731,38.0281519226,-119.039436227
1732,38.0281244641,-119.039423279
1733,38.0280952812,-119.03941499
1734,38.0280654343,-119.039410116
1735,38.0280351996,-119.039408802
1736,38.0280049649,-119.039411535
1737,38.0279756181,-119.039419169
1738,38.0279473764,-119.039430001
1739,38.0279203737,-119.03944374
1740,38.0278953902,-119.039460987
1741,38.0278726353,-119.039480983
1742,38.0278515094,-119.039502695
1743,38.0278326757,-119.039526505
1744,38.0278164156,-119.039552083
1745,38.0278016113,-119.039578543
1746,38.0277895738,-119.039606412
1747,38.0277791462,-119.039634886
1748,38.0277704923,-119.039663979
1749,38.0277622934,-119.039693209
1750,38.0277540945,-119.039722439
1751,38.0277458956,-119.039751669
1752,38.0277376968,-119.039780899
1753,38.0277294979,-119.039810129
1754,38.027721299,-119.039839359
1755,38.0277131001,-119.039868589
1756,38.0277049012,-119.039897819
1757,38.0276967023,-119.039927049
1758,38.0276885034,-119.039956278
1759,38.0276803045,-119.039985508
1760,38.0276721056,-119.040014738
1761,38.0276639067,-119.040043968
1762,38.0276557078,-119.040073198
1763,38.027648849,-119.040102747
1764,38.0276437857,-119.04013268
1765,38.0276397741,-119.040162756
1766,38.0276366675,-119.040192955
1767,38.0276335609,-119.040223153
1768,38.0276304544,-119.040253352
1769,38.0276273478,-119.040283551
1770,38.0276242413,-119.04031375
1771,38.0276211347,-119.040343948
1772,38.0276180282,-119.040374147
1773,38.0276149216,-119.040404346
1774,38.027611815,-119.040434544
1775,38.0276087085,-119.040464743
1776,38.0276056019,-119.040494942
1777,38.0276024954,-119.04052514
1778,38.0275993888,-119.040555339
1779,38.0275962823,-119.040585538
1780,38.0275931757,-119.040615737
1781,38.0275900691,-119.040645935
1782,38.0275869626,-119.040676134
1783,38.027583856,-119.040706333
1784,38.0275807495,-119.040736531
