"FID","lat","lon"
3530,38.0218682554,-119.04193132
3531,38.0218676135,-119.041961629
3532,38.0218693284,-119.041991939
3533,38.0218731915,-119.042022003
3534,38.0218783401,-119.042051922
3535,38.0218867633,-119.042081078
3536,38.0218963936,-119.042109819
3537,38.0219084319,-119.042137688
3538,38.0219228266,-119.042164357
3539,38.0219385808,-119.04219029
3540,38.0219568306,-119.042214545
3541,38.0219755338,-119.042238458
3542,38.021994237,-119.04226237
3543,38.0220129403,-119.042286282
3544,38.0220316435,-119.042310195
3545,38.0220503467,-119.042334107
3546,38.0220690499,-119.04235802
3547,38.0220877532,-119.042381932
3548,38.0221064564,-119.042405844
3549,38.0221251596,-119.042429757
3550,38.0221438629,-119.042453669
3551,38.0221625661,-119.042477581
3552,38.0221812693,-119.042501494
3553,38.0221999726,-119.042525406
3554,38.0222186758,-119.042549318
3555,38.022237379,-119.042573231
3556,38.0222560822,-119.042597143
3557,38.0222747855,-119.042621056
3558,38.0222934887,-119.042644968
3559,38.0223121919,-119.04266888
3560,38.0223308952,-119.042692793
3561,38.0223495984,-119.042716705
3562,38.0223683016,-119.042740617
3563,38.0223870048,-119.04276453
3564,38.0224057081,-119.042788442
3565,38.0224244113,-119.042812354
3566,38.0224431145,-119.042836267
3567,38.0224618178,-119.042860179
3568,38.022480521,-119.042884092
3569,38.0224992242,-119.042908004
3570,38.0225179274,-119.042931916
3571,38.0225366307,-119.042955829
3572,38.0225553339,-119.042979741
3573,38.0225740371,-119.043003653
3574,38.0225927404,-119.043027566
3575,38.0226114436,-119.043051478
3576,38.0226301468,-119.043075391
3577,38.0226488501,-119.043099303
3578,38.0226675533,-119.043123215
3579,38.0226862565,-119.043147128
3580,38.0227049597,-119.04317104
3581,38.022723663,-119.043194952
3582,38.0227423662,-119.043218865
3583,38.0227610694,-119.043242777
3584,38.0227797727,-119.043266689
3585,38.0227984759,-119.043290602
3586,38.0228171791,-119.043314514
3587,38.0228358823,-119.043338427
3588,38.0228545856,-119.043362339
3589,38.0228732888,-119.043386251
3590,38.022891992,-119.043410164
3591,38.0229106953,-119.043434076
3592,38.0229293985,-119.043457988
3593,38.0229481017,-119.043481901
3594,38.022966805,-119.043505813
3595,38.0229855082,-119.043529725
3596,38.0230042114,-119.043553638
3597,38.0230229146,-119.04357755
3598,38.0230416179,-119.043601463
3599,38.0230603211,-119.043625375
3600,38.0230790243,-119.043649287
3601,38.0230977276,-119.0436732
3602,38.0231164308,-119.043697112
3603,38.023135134,-119.043721024
3604,38.0231538372,-119.043744937
3605,38.0231725405,-119.043768849
3606,38.0231912437,-119.043792762
3607,38.0232099469,-119.043816674
3608,38.0232286502,-119.043840586
3609,38.0232473534,-119.043864499
3610,38.0232660566,-119.043888411
3611,38.0232847598,-119.043912323
3612,38.0233034631,-119.043936236
3613,38.0233221663,-119.043960148
3614,38.0233408695,-119.04398406
3615,38.0233595728,-119.044007973
3616,38.023378276,-119.044031885
3617,38.0233969792,-119.044055798
3618,38.0234156825,-119.04407971
3619,38.0234343857,-119.044103622
3620,38.0234530889,-119.044127535
3621,38.0234717921,-119.044151447
3622,38.0234904954,-119.044175359
3623,38.0235091986,-119.044199272
3624,38.0235279018,-119.044223184
3625,38.0235466051,-119.044247096
3626,38.0235653083,-119.044271009
3627,38.0235840115,-119.044294921
3628,38.0236029118,-119.044318678
3629,38.0236231969,-119.04434118
3630,38.0236452469,-119.044362047
3631,38.0236699975,-119.04437958
3632,38.0236962085,-119.044394695
3633,38.0237238703,-119.044407094
3634,38.0237531417,-119.044415143
3635,38.0237831434,-119.044419163
3636,38.0238133781,-119.044419599
3637,38.0238435337,-119.044416428
3638,38.0238728051,-119.044408379
3639,38.0239007563,-119.044396762
3640,38.0239273624,-119.044382334
3641,38.0239523463,-119.044365088
3642,38.0239746314,-119.044344512
3643,38.0239952425,-119.044322329
3644,38.0240140768,-119.044298519
3645,38.0240297982,-119.044272572
3646,38.0240441427,-119.044245871
3647,38.0240563033,-119.044218056
3648,38.0240678969,-119.044189999
3649,38.0240794002,-119.044161905
3650,38.0240909034,-119.044133811
3651,38.0241024067,-119.044105716
3652,38.0241139099,-119.044077622
3653,38.0241254131,-119.044049528
3654,38.0241369164,-119.044021434
3655,38.0241484196,-119.043993339
3656,38.0241599229,-119.043965245
3657,38.0241714261,-119.043937151
3658,38.0241829293,-119.043909057
3659,38.0241944326,-119.043880962
3660,38.0242059358,-119.043852868
3661,38.0242174391,-119.043824774
3662,38.0242289423,-119.043796679
3663,38.0242404455,-119.043768585
3664,38.0242519488,-119.043740491
3665,38.024263452,-119.043712397
3666,38.0242749553,-119.043684302
3667,38.0242864585,-119.043656208
3668,38.0242979617,-119.043628114
3669,38.024309465,-119.04360002
3670,38.0243209682,-119.043571925
3671,38.0243324715,-119.043543831
3672,38.0243439747,-119.043515737
3673,38.0243554779,-119.043487643
3674,38.0243669812,-119.043459548
3675,38.0243784844,-119.043431454
3676,38.0243899877,-119.04340336
3677,38.0244014909,-119.043375266
3678,38.0244129941,-119.043347171
3679,38.0244244974,-119.043319077
3680,38.0244360006,-119.043290983
3681,38.024446843,-119.043262634
3682,38.0244561443,-119.043233738
3683,38.0244651594,-119.04320475
3684,38.0244741745,-119.043175761
3685,38.0244831896,-119.043146772
3686,38.0244922047,-119.043117784
3687,38.0245012198,-119.043088795
3688,38.0245102349,-119.043059806
3689,38.0245192501,-119.043030818
3690,38.0245282652,-119.043001829
3691,38.0245372803,-119.042972841
3692,38.0245462954,-119.042943852
3693,38.0245553105,-119.042914863
3694,38.0245643256,-119.042885875
3695,38.0245733407,-119.042856886
3696,38.0245823558,-119.042827897
3697,38.0245913709,-119.042798909
3698,38.024600386,-119.04276992
3699,38.0246094011,-119.042740932
3700,38.0246184162,-119.042711943
3701,38.0246274313,-119.042682954
3702,38.0246364464,-119.042653966
3703,38.0246454615,-119.042624977
3704,38.0246544766,-119.042595989
3705,38.0246634917,-119.042567
3706,38.0246725068,-119.042538011
3707,38.0246815219,-119.042509023
3708,38.024690537,-119.042480034
3709,38.0246995521,-119.042451045
3710,38.0247085672,-119.042422057
3711,38.0247175823,-119.042393068
3712,38.0247262207,-119.04236397
3713,38.0247332714,-119.042334472
3714,38.0247384197,-119.042304554
3715,38.0247413552,-119.042274383
3716,38.02474307,-119.042244074
3717,38.0247415017,-119.042213764
3718,38.0247388593,-119.04218356
3719,38.024733711,-119.042153642
3720,38.024726512,-119.042124201
3721,38.0247179212,-119.042095084
3722,38.0247060696,-119.042067147
3723,38.0246929949,-119.042039798
