"FID","lat","lon"
2950,38.0142758234,-119.053081133
2951,38.0142751814,-119.053111443
2952,38.0142768965,-119.053141752
2953,38.0142803214,-119.053171887
2954,38.0142854121,-119.053201811
2955,38.0142908776,-119.053231673
2956,38.0142963432,-119.053261535
2957,38.0143018088,-119.053291397
2958,38.0143072743,-119.053321259
2959,38.0143127399,-119.053351121
2960,38.0143182054,-119.053380983
2961,38.014323671,-119.053410845
2962,38.0143291365,-119.053440707
2963,38.0143346021,-119.053470569
2964,38.0143400677,-119.053500431
2965,38.0143455332,-119.053530293
2966,38.0143509988,-119.053560155
2967,38.0143564643,-119.053590017
2968,38.0143619299,-119.053619879
2969,38.0143673955,-119.053649741
2970,38.014372861,-119.053679603
2971,38.0143783266,-119.053709465
2972,38.0143837921,-119.053739327
2973,38.0143892577,-119.053769189
2974,38.0143947232,-119.053799051
2975,38.0144001888,-119.053828913
2976,38.0144066186,-119.053858566
2977,38.0144152105,-119.053887683
2978,38.0144253739,-119.053916242
2979,38.0144373584,-119.053944127
2980,38.0144504382,-119.053971523
2981,38.0144635179,-119.053998919
2982,38.0144765976,-119.054026315
2983,38.0144896774,-119.054053711
2984,38.0145027571,-119.054081107
2985,38.0145158368,-119.054108503
2986,38.0145289166,-119.054135898
2987,38.0145419963,-119.054163294
2988,38.014555076,-119.05419069
2989,38.0145681558,-119.054218086
2990,38.0145812355,-119.054245482
2991,38.0145943152,-119.054272878
2992,38.0146073949,-119.054300274
2993,38.0146218349,-119.054326949
2994,38.0146373049,-119.05435307
2995,38.0146559821,-119.054376987
2996,38.0146762013,-119.054399529
2997,38.0146982526,-119.054420394
2998,38.0147231135,-119.054437791
2999,38.0147494172,-119.054452745
3000,38.0147770499,-119.054465269
3001,38.0148058128,-119.054474979
3002,38.014834591,-119.054484645
3003,38.0148633691,-119.054494311
3004,38.0148921473,-119.054503977
3005,38.0149209255,-119.054513643
3006,38.0149497036,-119.054523308
3007,38.0149784818,-119.054532974
3008,38.01500726,-119.05454264
3009,38.0150360381,-119.054552306
3010,38.0150648163,-119.054561972
3011,38.0150935945,-119.054571638
3012,38.0151223726,-119.054581304
3013,38.0151511508,-119.05459097
3014,38.015179929,-119.054600635
3015,38.0152087072,-119.054610301
3016,38.0152374853,-119.054619967
3017,38.0152662635,-119.054629633
3018,38.0152950417,-119.054639299
3019,38.0153238198,-119.054648965
3020,38.015352598,-119.054658631
3021,38.0153813762,-119.054668297
3022,38.0154101543,-119.054677962
3023,38.0154390143,-119.054687352
3024,38.0154684292,-119.054694835
3025,38.0154985886,-119.054698243
3026,38.0155288874,-119.05470014
3027,38.0155591861,-119.054702036
3028,38.0155894849,-119.054703933
3029,38.0156197837,-119.054705829
3030,38.0156500824,-119.054707726
3031,38.0156803812,-119.054709622
3032,38.01571068,-119.054711519
3033,38.0157409788,-119.054713415
3034,38.0157712775,-119.054715311
3035,38.0158015763,-119.054717208
3036,38.0158318751,-119.054719104
3037,38.0158621738,-119.054721001
3038,38.0158924726,-119.054722897
3039,38.0159227714,-119.054724794
3040,38.0159530702,-119.05472669
3041,38.0159833689,-119.054728587
3042,38.0160136738,-119.054730353
3043,38.0160439439,-119.054728821
3044,38.0160738554,-119.054724303
3045,38.016103127,-119.054716254
3046,38.0161306195,-119.054703398
3047,38.0161568581,-119.054688267
3048,38.0161816852,-119.054670814
3049,38.0162061716,-119.054652869
3050,38.016230658,-119.054634924
3051,38.0162551445,-119.054616979
3052,38.0162796309,-119.054599034
3053,38.0163041173,-119.054581089
3054,38.0163286037,-119.054563144
3055,38.0163530901,-119.054545198
3056,38.0163775765,-119.054527253
3057,38.016402063,-119.054509308
3058,38.0164265494,-119.054491363
3059,38.0164510358,-119.054473418
3060,38.0164755222,-119.054455473
3061,38.0165000086,-119.054437528
3062,38.016524495,-119.054419583
3063,38.0165489815,-119.054401637
3064,38.0165734679,-119.054383692
3065,38.0165978205,-119.054365569
3066,38.0166202063,-119.054345095
3067,38.0166411049,-119.054323175
3068,38.0166599404,-119.054299367
3069,38.0166759629,-119.054273626
3070,38.0166905252,-119.054247043
3071,38.0167025643,-119.054219174
3072,38.0167125154,-119.054190539
3073,38.016721005,-119.0541614
3074,38.016728343,-119.054131942
3075,38.0167356811,-119.054102484
3076,38.0167430191,-119.054073026
3077,38.0167503571,-119.054043568
3078,38.0167576951,-119.05401411
3079,38.0167650331,-119.053984653
3080,38.0167723711,-119.053955195
3081,38.0167797092,-119.053925737
