"FID","lat","lon"
589,38.0348895801,-119.049808625
590,38.0348889382,-119.049838934
591,38.0348906528,-119.049869244
592,38.0348945153,-119.049899309
593,38.034899663,-119.049929227
594,38.0349080848,-119.049958384
595,38.0349177137,-119.049987125
596,38.0349297502,-119.050014995
597,38.0349441432,-119.050041665
598,38.0349598815,-119.050067609
599,38.0349780284,-119.050091943
600,38.0349964838,-119.050116047
601,38.0350149392,-119.050140151
602,38.0350333945,-119.050164255
603,38.0350518499,-119.05018836
604,38.0350703053,-119.050212464
605,38.0350887607,-119.050236568
606,38.0351072161,-119.050260672
607,38.0351256714,-119.050284776
608,38.0351441268,-119.05030888
609,38.0351625822,-119.050332985
610,38.0351810376,-119.050357089
611,38.0351994929,-119.050381193
612,38.0352179483,-119.050405297
613,38.0352364037,-119.050429401
614,38.0352548591,-119.050453506
615,38.0352733145,-119.05047761
616,38.0352920048,-119.050501526
617,38.035312255,-119.050524085
618,38.0353343034,-119.050544953
619,38.0353587892,-119.050562813
620,38.0353847772,-119.050578315
621,38.035412276,-119.050591153
622,38.0354415471,-119.050599204
623,38.0354714627,-119.050603699
624,38.035501695,-119.050604597
625,38.0355319226,-119.050601784
626,38.0355617538,-119.050596186
627,38.0355915668,-119.050590459
628,38.0356213798,-119.050584732
629,38.0356511928,-119.050579005
630,38.0356810058,-119.050573278
631,38.0357108188,-119.050567551
632,38.0357406318,-119.050561824
633,38.0357704448,-119.050556097
634,38.0358002578,-119.050550371
635,38.0358300708,-119.050544644
636,38.0358598837,-119.050538917
637,38.0358896967,-119.05053319
638,38.0359195097,-119.050527463
639,38.0359493227,-119.050521736
640,38.0359789591,-119.05051526
641,38.036008146,-119.050506947
642,38.036035604,-119.050493998
643,38.0360614745,-119.050478292
644,38.036085821,-119.05046026
645,38.0361078693,-119.050439391
646,38.0361275233,-119.050416332
647,38.0361456084,-119.050392008
648,38.036161075,-119.050365886
649,38.0361743089,-119.050338626
650,38.0361862199,-119.05031071
651,38.0361948095,-119.050281593
652,38.0362022968,-119.050252207
653,38.0362077088,-119.05022234
654,38.0362123195,-119.050192334
655,38.0362169302,-119.050162328
656,38.036221541,-119.050132322
657,38.0362261517,-119.050102316
658,38.0362307625,-119.05007231
659,38.0362353732,-119.050042305
660,38.0362399839,-119.050012299
661,38.0362445947,-119.049982293
662,38.0362492054,-119.049952287
663,38.0362538162,-119.049922281
664,38.0362584269,-119.049892275
665,38.0362630376,-119.049862269
666,38.0362676484,-119.049832263
667,38.0362722591,-119.049802257
668,38.0362768699,-119.049772252
669,38.0362814806,-119.049742246
670,38.0362860914,-119.04971224
671,38.0362907021,-119.049682234
672,38.0362953128,-119.049652228
673,38.0362999236,-119.049622222
674,38.0363045343,-119.049592216
675,38.0363091451,-119.04956221
676,38.0363137558,-119.049532205
677,38.0363183665,-119.049502199
678,38.0363229773,-119.049472193
679,38.0363338914,-119.049443958
680,38.0363455839,-119.049415942
681,38.0363572764,-119.049387926
682,38.0363687714,-119.04935983
683,38.0363782414,-119.049331013
684,38.036386831,-119.049301896
685,38.0363920287,-119.049271989
686,38.0363963714,-119.049241967
687,38.0363985348,-119.04921169
688,38.036400225,-119.049181379
689,38.0364019151,-119.049151068
690,38.0364036052,-119.049120757
691,38.0364052954,-119.049090446
692,38.0364069855,-119.049060135
693,38.0364086756,-119.049029824
694,38.0364103658,-119.048999513
695,38.0364120559,-119.048969202
696,38.036413746,-119.048938891
697,38.0364154362,-119.04890858
698,38.0364171263,-119.048878269
699,38.0364188164,-119.048847958
700,38.0364205066,-119.048817647
701,38.0364221967,-119.048787336
702,38.0364238868,-119.048757025
703,38.036425577,-119.048726714
704,38.0364272671,-119.048696403
705,38.0364308851,-119.048695838
706,38.0364364738,-119.048725677
707,38.0364420625,-119.048755516
708,38.0364476511,-119.048785355
709,38.0364532398,-119.048815194
710,38.0364588284,-119.048845034
711,38.0364644171,-119.048874873
712,38.0364700058,-119.048904712
713,38.0364755944,-119.048934551
714,38.0364811831,-119.048964391
715,38.0364867717,-119.04899423
716,38.0364923604,-119.049024069
717,38.0364979491,-119.049053908
718,38.0365035377,-119.049083747
719,38.0365091264,-119.049113587
720,38.036514715,-119.049143426
721,38.0365203037,-119.049173265
722,38.0365258923,-119.049203104
723,38.036531481,-119.049232944
724,38.0365370697,-119.049262783
725,38.0365426583,-119.049292622
726,38.036548247,-119.049322461
727,38.0365538356,-119.0493523
728,38.0365594243,-119.04938214
729,38.036565013,-119.049411979
