"FID","lat","lon"
2112,37.9948613108,-119.053753855
2113,37.9948606686,-119.053784165
2114,37.9948623841,-119.053814475
2115,37.9948662487,-119.053844539
2116,37.9948713991,-119.053874457
2117,37.9948798251,-119.053903612
2118,37.9948893641,-119.053932392
2119,37.9949010935,-119.053960393
2120,37.9949141988,-119.053987776
2121,37.9949273372,-119.054015143
2122,37.9949404756,-119.054042511
2123,37.994953614,-119.054069879
2124,37.9949667524,-119.054097247
2125,37.9949799509,-119.054124585
2126,37.9949952265,-119.054150811
2127,37.9950118137,-119.054176164
2128,37.9950306526,-119.05419997
2129,37.9950520901,-119.054221397
2130,37.9950751282,-119.054241044
2131,37.9951001153,-119.054258285
2132,37.9951269398,-119.054272446
2133,37.995154317,-119.054285565
2134,37.9951816943,-119.054298683
2135,37.9952090715,-119.054311802
2136,37.9952364487,-119.054324921
2137,37.9952476513,-119.054352604
2138,37.9952578378,-119.054381202
2139,37.9952680243,-119.0544098
2140,37.9952782109,-119.054438398
2141,37.9952883974,-119.054466996
2142,37.9952985839,-119.054495594
2143,37.9953087704,-119.054524192
2144,37.9953146267,-119.054553732
2145,37.995317246,-119.054583977
2146,37.9953198653,-119.054614222
2147,37.9953224845,-119.054644467
2148,37.9953251038,-119.054674712
2149,37.995327723,-119.054704957
2150,37.9953303423,-119.054735202
2151,37.9953329616,-119.054765446
2152,37.9953355808,-119.054795691
2153,37.9953382001,-119.054825936
2154,37.9953400434,-119.054856234
2155,37.9953415432,-119.054886555
2156,37.995343043,-119.054916876
2157,37.9953445429,-119.054947197
2158,37.9953460427,-119.054977518
2159,37.9953475426,-119.055007839
2160,37.9953490424,-119.05503816
2161,37.9953505422,-119.055068481
2162,37.9953520421,-119.055098802
2163,37.9953535419,-119.055129123
2164,37.9953550417,-119.055159444
2165,37.9953565416,-119.055189765
2166,37.9953580414,-119.055220086
2167,37.9953601367,-119.055250368
2168,37.9953643937,-119.055280399
2169,37.9953695441,-119.055310317
2170,37.9953772987,-119.055339665
2171,37.9953855046,-119.055368893
2172,37.9953937105,-119.055398121
2173,37.9954019164,-119.055427349
2174,37.9954101223,-119.055456577
2175,37.9954183282,-119.055485805
2176,37.9954265342,-119.055515033
2177,37.9954347401,-119.055544261
2178,37.995442946,-119.055573489
2179,37.9954511519,-119.055602717
2180,37.9954593578,-119.055631945
2181,37.9954682793,-119.055660958
2182,37.9954794043,-119.055689169
2183,37.9954916368,-119.05571694
2184,37.9955071097,-119.055743059
2185,37.9955242279,-119.055768045
2186,37.9955430991,-119.055791825
2187,37.9955635787,-119.055814228
2188,37.9955841746,-119.055836531
2189,37.9956047704,-119.055858834
2190,37.9956253662,-119.055881137
2191,37.9956459621,-119.05590344
2192,37.9956665579,-119.055925743
2193,37.9956871537,-119.055948046
2194,37.9957077495,-119.055970349
2195,37.9957283454,-119.055992652
2196,37.9957492333,-119.056014666
2197,37.9957713468,-119.056035465
2198,37.9957956936,-119.056053499
2199,37.9958215517,-119.056069226
2200,37.9958490125,-119.056082169
2201,37.9958782264,-119.056090373
2202,37.9959079936,-119.056096003
2203,37.9959382175,-119.056098839
2204,37.9959684487,-119.056101612
2205,37.9959986799,-119.056104385
2206,37.996028911,-119.056107158
2207,37.9960591422,-119.05610993
2208,37.9960894124,-119.056112136
2209,37.9961196718,-119.056110511
2210,37.9961495286,-119.056105691
2211,37.9961787312,-119.056097457
2212,37.9962061919,-119.056084514
2213,37.9962320345,-119.056068759
2214,37.9962563495,-119.056050688
2215,37.9962784034,-119.056029826
2216,37.9962982787,-119.056006941
2217,37.9963167292,-119.055982847
2218,37.996334579,-119.055958291
2219,37.9963524288,-119.055933735
2220,37.9963702786,-119.055909179
2221,37.9963881285,-119.055884623
2222,37.9964059641,-119.055860057
2223,37.9964219898,-119.055834296
2224,37.9964369234,-119.055807902
2225,37.9964489653,-119.055780034
2226,37.9964593175,-119.055751544
2227,37.9964679476,-119.055722444
2228,37.9964754846,-119.055693037
2229,37.9964830216,-119.055663629
2230,37.9964905587,-119.055634222
2231,37.9964980957,-119.055604814
2232,37.9965056327,-119.055575407
2233,37.9965131698,-119.055545999
2234,37.9965207068,-119.055516591
2235,37.9965282438,-119.055487184
2236,37.9965368725,-119.055458131
2237,37.9965480666,-119.055429912
2238,37.9965592606,-119.055401693
2239,37.9965704547,-119.055373474
2240,37.9965816487,-119.055345256
2241,37.9965928428,-119.055317037
2242,37.9966040368,-119.055288818
2243,37.9966152308,-119.055260599
2244,37.9966264249,-119.05523238
2245,37.9966376189,-119.055204161
2246,37.9966484127,-119.055175791
2247,37.9966579549,-119.055146972
2248,37.9966673824,-119.055118115
2249,37.9966768099,-119.055089258
2250,37.9966862374,-119.055060401
2251,37.9966956649,-119.055031544
2252,37.9967050924,-119.055002687
2253,37.9967145199,-119.054973829
2254,37.996729241,-119.054949108
2255,37.9967549601,-119.054932979
2256,37.9967806791,-119.05491685
2257,37.9968059394,-119.054900038
2258,37.9968297444,-119.054881298
2259,37.9968517982,-119.054860436
2260,37.9968710894,-119.054837044
2261,37.9968887957,-119.05481246
2262,37.9969042684,-119.054786341
2263,37.9969171163,-119.054758884
2264,37.9969286395,-119.054730829
2265,37.9969372333,-119.054701712
2266,37.9969441032,-119.054672195
2267,37.9969492535,-119.054642277
2268,37.9969515661,-119.054612035
2269,37.9969528047,-119.054581726
2270,37.9969510892,-119.054551416
2271,37.9969478219,-119.054521283
2272,37.9969426716,-119.054491365
2273,37.9969348445,-119.054462071
2274,37.9969258108,-119.054433114
2275,37.996913769,-119.054405246
2276,37.9968999675,-119.054378275
2277,37.9968844947,-119.054352156
2278,37.9968658528,-119.054328215
2279,37.9968461544,-119.054305155
