"FID","lat","lon"
1033,38.0288582798,-119.045201718
1034,38.0288285488,-119.045207856
1035,38.0287988177,-119.045213994
1036,38.0287690866,-119.045220132
1037,38.0287393556,-119.04522627
1038,38.0287096245,-119.045232408
1039,38.0286798934,-119.045238546
1040,38.0286501624,-119.045244684
1041,38.0286204313,-119.045250822
1042,38.0285907002,-119.045256961
1043,38.0285609692,-119.045263099
1044,38.0285312381,-119.045269237
1045,38.028501507,-119.045275375
1046,38.028471776,-119.045281513
1047,38.0284420449,-119.045287651
1048,38.0284417156,-119.045281094
1049,38.0284662835,-119.045263275
1050,38.028489329,-119.045243541
1051,38.0285101361,-119.045221461
1052,38.0285288861,-119.045197605
1053,38.0285454378,-119.045172175
1054,38.0285597614,-119.045145423
1055,38.0285720905,-119.045117693
1056,38.0285821364,-119.045089056
1057,38.0285901179,-119.045059778
1058,38.0285961464,-119.045030034
1059,38.028600026,-119.044999934
1060,38.0286018211,-119.044969639
1061,38.0286016898,-119.044939291
1062,38.0285995751,-119.044909015
1063,38.0285952259,-119.044878978
1064,38.0285889338,-119.04484929
1065,38.0285806883,-119.044820082
1066,38.0285702404,-119.044791584
1067,38.0285587711,-119.044763476
1068,38.0285473017,-119.044735368
1069,38.0285358324,-119.044707259
1070,38.028524363,-119.044679151
1071,38.0285128936,-119.044651043
1072,38.0285014243,-119.044622935
1073,38.0284899549,-119.044594827
1074,38.0284784856,-119.044566719
1075,38.0284667748,-119.044538712
1076,38.028453287,-119.044511528
1077,38.0284376457,-119.044485525
1078,38.0284204829,-119.044460489
1079,38.0284030655,-119.044435625
1080,38.0283856481,-119.04441076
1081,38.0283682307,-119.044385895
1082,38.0283508133,-119.044361031
1083,38.0283333959,-119.044336166
1084,38.0283159785,-119.044311302
1085,38.0282985611,-119.044286437
1086,38.0282811437,-119.044261573
1087,38.0282637262,-119.044236708
1088,38.0282462366,-119.044211896
1089,38.0282274509,-119.044188066
1090,38.0282066351,-119.044165995
1091,38.0281835854,-119.044146266
1092,38.0281586592,-119.044128981
1093,38.0281318393,-119.044114804
1094,38.0281035286,-119.044103942
1095,38.0280740737,-119.044096694
1096,38.0280439033,-119.044093625
1097,38.0280135926,-119.044094426
1098,38.0279836665,-119.044099376
1099,38.0279546332,-119.044108143
1100,38.0279264144,-119.044119332
1101,38.0278982568,-119.04413068
1102,38.0278700993,-119.044142027
1103,38.0278419417,-119.044153375
1104,38.0278137842,-119.044164722
1105,38.0277856266,-119.04417607
1106,38.0277574691,-119.044187417
1107,38.0277293115,-119.044198764
1108,38.027701154,-119.044210112
1109,38.0276729964,-119.044221459
1110,38.0276448389,-119.044232807
1111,38.027617037,-119.044244968
1112,38.0275906935,-119.044259994
1113,38.0275662049,-119.044277903
1114,38.0275437692,-119.04429832
1115,38.0275234419,-119.044320846
1116,38.0275052069,-119.044345098
1117,38.0274886965,-119.044370573
1118,38.0274723458,-119.044396151
1119,38.027455995,-119.04442173
1120,38.0274396442,-119.044447308
1121,38.0274232934,-119.044472887
1122,38.0274069427,-119.044498466
1123,38.0273905919,-119.044524044
1124,38.0273742411,-119.044549623
1125,38.0273578904,-119.044575201
1126,38.0273415396,-119.04460078
1127,38.0273251888,-119.044626358
1128,38.0273093925,-119.044652273
1129,38.0272953933,-119.044679197
1130,38.0272836167,-119.044707164
1131,38.0272739969,-119.044735947
1132,38.0272663415,-119.044765313
1133,38.0272608096,-119.044795153
