"FID","lat","lon"
1350,38.0284069773,-119.043818668
1351,38.0284084725,-119.043848979
1352,38.0284118973,-119.043879134
1353,38.028417479,-119.043908965
1354,38.0284251593,-119.043938325
1355,38.028434804,-119.043967099
1356,38.0284466305,-119.043995045
1357,38.0284606544,-119.044021955
1358,38.0284766756,-119.044047727
1359,38.028495075,-119.044071855
1360,38.0285154967,-119.044094296
1361,38.0285381113,-119.044114515
1362,38.0285626577,-119.044132347
1363,38.0285883006,-119.044148595
1364,38.0286139766,-119.044164792
1365,38.0286396525,-119.04418099
1366,38.0286653285,-119.044197187
1367,38.0286910044,-119.044213385
1368,38.0287166804,-119.044229582
1369,38.0287423563,-119.04424578
1370,38.0287680323,-119.044261977
1371,38.0287937082,-119.044278174
1372,38.0288193842,-119.044294372
1373,38.028845409,-119.044309989
1374,38.028872796,-119.044323051
1375,38.0289006482,-119.044335129
1376,38.0289285004,-119.044347206
1377,38.0289563525,-119.044359284
1378,38.0289842047,-119.044371361
1379,38.0290120569,-119.044383439
1380,38.0290399091,-119.044395516
1381,38.0290677613,-119.044407594
1382,38.0290962492,-119.044418014
1383,38.0291257554,-119.044425044
1384,38.0291559641,-119.044427789
1385,38.0291862596,-119.044426619
1386,38.0292117459,-119.044439921
1387,38.0292374657,-119.04445601
1388,38.0292648849,-119.044468964
1389,38.0292935653,-119.044478877
1390,38.0293225306,-119.044487967
1391,38.0293514958,-119.044497056
1392,38.029380461,-119.044506146
1393,38.0294094263,-119.044515236
1394,38.0294383915,-119.044524326
1395,38.0294673568,-119.044533416
1396,38.029496322,-119.044542506
1397,38.0295252872,-119.044551596
1398,38.029554265,-119.044560644
1399,38.0295837836,-119.044567658
1400,38.0296139805,-119.044570513
1401,38.0296442823,-119.044569496
1402,38.0296741907,-119.04456444
1403,38.0297031345,-119.04455539
1404,38.0297308281,-119.044543014
1405,38.0297567108,-119.044527187
1406,38.0297808191,-119.044508775
1407,38.0298027439,-119.044487802
1408,38.0298227099,-119.044464954
1409,38.0298402852,-119.044440216
1410,38.0298558665,-119.044414177
1411,38.0298692088,-119.044386923
1412,38.0298803836,-119.044358709
1413,38.0298897229,-119.044329832
1414,38.0298983529,-119.044300726
1415,38.029906983,-119.04427162
1416,38.0299156131,-119.044242515
1417,38.0299242432,-119.044213409
1418,38.0299328733,-119.044184304
1419,38.0299415034,-119.044155198
1420,38.0299501335,-119.044126093
1421,38.0299587636,-119.044096987
1422,38.0299673937,-119.044067882
1423,38.0299759095,-119.044038743
1424,38.0299827887,-119.044009183
1425,38.0299876515,-119.043979227
1426,38.0299905793,-119.04394902
1427,38.0299914361,-119.043918683
1428,38.0299901538,-119.043888361
1429,38.0299869421,-119.043858184
1430,38.0299817873,-119.043828274
1431,38.0299743209,-119.043798857
1432,38.0299648903,-119.043770013
1433,38.029953484,-119.043741889
1434,38.0299396803,-119.043714863
1435,38.0299238705,-119.043688962
1436,38.0299058853,-119.043664527
1437,38.029885664,-119.043641905
1438,38.0298634285,-119.043621267
1439,38.029839032,-119.043603232
1440,38.02981285,-119.043587924
1441,38.0297850678,-119.043575724
1442,38.0297567801,-119.043564706
1443,38.0297284923,-119.043553687
1444,38.0297002045,-119.043542668
1445,38.0296719167,-119.043531649
1446,38.0296436289,-119.043520631
1447,38.0296153412,-119.043509612
1448,38.0295870534,-119.043498593
1449,38.0295587656,-119.043487574
1450,38.0295303142,-119.043477011
1451,38.0295009122,-119.043469553
1452,38.0294708199,-119.043465699
1453,38.0294514587,-119.043445541
1454,38.0294357017,-119.043419592
1455,38.0294199446,-119.043393644
1456,38.0294041876,-119.043367695
1457,38.0293881526,-119.043341921
1458,38.0293706241,-119.043317151
1459,38.0293507511,-119.043294224
1460,38.0293288706,-119.043273205
1461,38.0293048447,-119.043254688
1462,38.0292789989,-119.043238802
1463,38.0292513675,-119.043226295
1464,38.0292224664,-119.0432171
1465,38.0291925706,-119.043211968
1466,38.0291622753,-119.043210795
1467,38.0291320641,-119.043213512
1468,38.0291020725,-119.043218215
1469,38.029072081,-119.043222918
1470,38.0290420894,-119.043227621
1471,38.0290120978,-119.043232324
1472,38.0289821063,-119.043237027
1473,38.0289521147,-119.04324173
1474,38.0289221231,-119.043246433
1475,38.0288921316,-119.043251136
1476,38.02886214,-119.043255839
1477,38.0288321484,-119.043260542
1478,38.0288021569,-119.043265245
1479,38.0287721653,-119.043269948
1480,38.0287421737,-119.043274651
1481,38.0287121987,-119.043279446
1482,38.0286827425,-119.043286689
1483,38.0286544284,-119.043297543
1484,38.0286276064,-119.043311716
1485,38.0286026752,-119.043328992
1486,38.0285796228,-119.043348718
1487,38.0285588012,-119.043370784
1488,38.0285400436,-119.043394635
1489,38.0285234764,-119.043420054
1490,38.028509145,-119.043446802
1491,38.0284968079,-119.043474529
1492,38.0284865249,-119.043503087
1493,38.028476768,-119.043531834
1494,38.0284670111,-119.043560582
1495,38.0284572543,-119.043589329
1496,38.0284474974,-119.043618077
1497,38.0284377405,-119.043646824
1498,38.028428054,-119.043675594
1499,38.028419846,-119.043704812
1500,38.0284135915,-119.043734508
1501,38.0284092798,-119.043764551
