"FID","lat","lon"
204,38.0295029141,-119.046793105
205,38.0295022722,-119.046823415
206,38.0295039869,-119.046853724
207,38.029507098,-119.046883903
208,38.0295112463,-119.046913976
209,38.0295153947,-119.046944049
210,38.029519543,-119.046974123
211,38.0295236913,-119.047004196
212,38.0295278397,-119.047034269
213,38.029531988,-119.047064343
214,38.0295361363,-119.047094416
215,38.0295402847,-119.047124489
216,38.029544433,-119.047154562
217,38.0295485813,-119.047184636
218,38.0295527296,-119.047214709
219,38.029556878,-119.047244782
220,38.0295610263,-119.047274856
221,38.0295651746,-119.047304929
222,38.029569323,-119.047335002
223,38.0295734713,-119.047365076
224,38.0295776196,-119.047395149
225,38.029581768,-119.047425222
226,38.0295859163,-119.047455295
227,38.0295900646,-119.047485369
228,38.029594213,-119.047515442
229,38.0295983613,-119.047545515
230,38.0296025096,-119.047575589
231,38.029606658,-119.047605662
232,38.0296108063,-119.047635735
233,38.0296149546,-119.047665809
234,38.029619103,-119.047695882
235,38.0296232513,-119.047725955
236,38.0296273996,-119.047756028
237,38.029631548,-119.047786102
238,38.0296356963,-119.047816175
239,38.0296398446,-119.047846248
240,38.029643993,-119.047876322
241,38.0296481413,-119.047906395
242,38.0296529524,-119.047936361
243,38.0296589668,-119.047966095
244,38.0296675571,-119.047995212
245,38.0296779217,-119.048023687
246,38.0296899589,-119.048051557
247,38.0297038877,-119.048078522
248,38.0297180737,-119.048105361
249,38.0297322597,-119.048132201
250,38.0297464456,-119.048159041
251,38.0297606316,-119.04818588
252,38.0297748176,-119.04821272
253,38.0297890036,-119.04823956
254,38.0298031896,-119.0482664
255,38.0298173756,-119.048293239
256,38.0298315616,-119.048320079
257,38.0298457475,-119.048346919
258,38.0298599335,-119.048373758
259,38.0298753887,-119.048399881
260,38.0298925729,-119.048424833
261,38.0299114062,-119.048448643
262,38.0299327766,-119.048470192
263,38.029955225,-119.048490629
264,38.0299776733,-119.048511066
265,38.0300001217,-119.048531504
266,38.0300225701,-119.048551941
267,38.0300450184,-119.048572378
268,38.0300674668,-119.048592815
269,38.0300899151,-119.048613253
270,38.0301116434,-119.048634393
271,38.0301315492,-119.048657314
272,38.030151455,-119.048680235
273,38.0301713608,-119.048703156
274,38.0301912666,-119.048726077
275,38.0302111724,-119.048748998
276,38.0302310782,-119.048771919
277,38.030250984,-119.04879484
278,38.0302708898,-119.048817761
279,38.0302907956,-119.048840682
280,38.0303107014,-119.048863603
281,38.0303306286,-119.048886505
282,38.0303523345,-119.048907706
283,38.0303753909,-119.04892733
284,38.0304003741,-119.048944577
285,38.0304276313,-119.048957874
286,38.0304560596,-119.048968202
287,38.0304855054,-119.048975289
288,38.0305157401,-119.048978023
289,38.0305460079,-119.048976545
290,38.0305760966,-119.048972633
291,38.0306061199,-119.048968137
292,38.0306361432,-119.048963641
293,38.0306661665,-119.048959145
